"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"g1",0,NA,NA,NA,NA,NA,NA
"g10",0,NA,NA,NA,NA,NA,NA
"g100",13.2885493629574,-1.1455552003397,1.76620563569874,-0.648596730293241,0.516599069487637,0.83884074567692,"Not Sig"
"g1000",1.43693198777652,4.39046056633636,4.36390611415378,1.00608501912918,0.314374674393679,NA,NA
"g1001",0.410551996507577,2.58776863531557,4.4520195998301,0.581257242311854,0.561067093281502,NA,NA
"g1002",0.205275998253789,1.63147809356605,4.55816665684309,0.357924186715889,0.720400049821667,NA,NA
"g1003",1.8474839842841,4.75257737134748,4.35595904194768,1.0910518959385,0.275250047911663,NA,NA
"g1004",16.7279282440114,0.859563790357009,1.55483746623992,0.55283192553605,0.580378505151974,0.878228508851931,"Not Sig"
"g1005",19.1451346245306,-4.90823863554401,2.05598343365369,-2.38729483672034,0.0169728732560136,0.168131093224024,"Not Sig"
"g1006",2462.0026383102,-0.479260090593975,0.77759437490417,-0.616336879562739,0.537672203224508,0.852305605332655,"Not Sig"
"g1007",0.344996634938669,0.669706385432687,4.55816596744704,0.14692452846507,0.883191591104764,NA,"Not Sig"
"g1008",0,NA,NA,NA,NA,NA,NA
"g1009",1.23165598952273,4.16840254479408,4.36985367873465,0.953899798768799,0.3401343653532,NA,NA
"g101",0,NA,NA,NA,NA,NA,NA
"g1010",1.48496115371166,-3.61323721247987,4.4391899419515,-0.813940664789727,0.41567894338932,NA,NA
"g1011",2.25803598079168,5.04183099286368,4.29564497939914,1.17370756127265,0.24051218058154,NA,NA
"g1012",0.205275998253789,1.63147809356605,4.55816665684309,0.357924186715889,0.720400049821667,NA,NA
"g1013",0,NA,NA,NA,NA,NA,NA
"g1014",1.02637999126894,3.90583098702785,4.37816205081917,0.892116587209709,0.372330445039503,NA,NA
"g1015",195.221688113912,-0.823878746722278,0.873403907493569,-0.943296382868936,0.345529325507848,0.708621004617877,"Not Sig"
"g1016",0.205275998253789,1.63147809356605,4.55816665684309,0.357924186715889,0.720400049821667,NA,NA
"g1017",1.64220798603031,4.58285168252596,4.35943828894286,1.05124820648334,0.293144608048497,NA,NA
"g1018",0.410551996507577,2.58776863531557,4.4520195998301,0.581257242311854,0.561067093281502,NA,NA
"g1019",0.960824629700035,2.6228128348963,4.39058488124851,0.597372082725906,0.55025898832742,NA,NA
"g102",0.205275998253789,1.63147809356605,4.55816665684309,0.357924186715889,0.720400049821667,NA,NA
"g1020",680.299020999718,0.0534789868109867,0.786717454001413,0.0679773742643959,0.945803645335235,0.986292531579154,"Not Sig"
"g1021",0.344996634938669,0.669706385432687,4.55816596744704,0.14692452846507,0.883191591104764,NA,"Not Sig"
"g1022",5.13189995634472,6.22608833709164,3.19939052271586,1.94602324814244,0.0516519470669058,0.277218127890922,"Not Sig"
"g1023",623.459926493688,-1.08275484677614,0.842708141857151,-1.28485153162277,0.198844170783574,0.539666092297086,"Not Sig"
"g1024",152.78250745844,0.345040666549936,0.975001278204166,0.353887399189321,0.723423270753057,0.914159687990845,"Not Sig"
"g1025",0.205275998253789,1.63147809356605,4.55816665684309,0.357924186715889,0.720400049821667,NA,NA
"g1026",0.410551996507577,2.58776863531557,4.4520195998301,0.581257242311854,0.561067093281502,NA,NA
"g1027",0.615827994761366,3.17064471670152,4.41118798632596,0.718773429409506,0.472280531543228,NA,NA
"g1028",3.07913997380683,5.48923877727337,3.81636034518289,1.43834394050395,0.15033649019633,NA,NA
"g1029",0.410551996507577,2.58776863531557,4.4520195998301,0.581257242311854,0.561067093281502,NA,NA
"g103",0,NA,NA,NA,NA,NA,NA
"g1030",0.205275998253789,1.63147809356605,4.55816665684309,0.357924186715889,0.720400049821667,NA,NA
"g1031",1.02637999126894,3.90583098702785,4.37816205081917,0.892116587209709,0.372330445039503,NA,NA
"g1032",649.816378556209,-1.04263447764954,0.797420627767285,-1.30750878688558,0.191039972642962,0.525785687410512,"Not Sig"
"g1033",6.14611252841691,-0.399115160288059,2.27763177951453,-0.175232521726198,0.860896931027556,0.96290517752514,"Not Sig"
"g1034",2596.18712203165,-0.217302483146101,0.875850836877105,-0.248104441985698,0.804053598844397,0.947648671448926,"Not Sig"
"g1035",24.2062225595253,-0.550558687177087,1.44276546899327,-0.381599573187216,0.702758400863061,0.911961760276518,"Not Sig"
"g1036",4.22894308265021,-0.686947565035339,2.52464575675699,-0.272096615216921,0.785547732063437,0.940085726644925,"Not Sig"
"g1037",1990.0101943139,-0.473246171410581,0.790288279921852,-0.59882726776282,0.549288076823932,0.854460444891985,"Not Sig"
"g1038",26.7879439474689,-0.23637438998294,1.20156578737024,-0.19672197100441,0.844045115678426,0.957710137411543,"Not Sig"
"g1039",68.6363959108464,0.222847557571555,1.05751642406531,0.210727278083193,0.833100087700054,0.957214827045603,"Not Sig"
"g104",1.02637999126894,3.90583098702785,4.37816205081917,0.892116587209709,0.372330445039503,NA,NA
"g1040",31.2281315091366,-0.322807234936512,1.22279123389645,-0.263992107555336,0.79178600034996,0.94312438483213,"Not Sig"
