"","Row.names","baseMean.x","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","sig.x","baseMean.y.x","log2FoldChange.y.x","lfcSE.y.x","stat.y.x","pvalue.y.x","padj.y.x","sig.y.x","baseMean.y.y","log2FoldChange.y.y","lfcSE.y.y","stat.y.y","pvalue.y.y","padj.y.y","sig.y.y"
"1","g1314",6799.50429639051,-8.29100448488871,1.32842775087827,-6.24121596331243,4.34182284838545e-10,8.40403410380149e-08,"FDR<0.1",9467.24256037448,-10.3289758287847,1.71812241975204,-6.01178106404974,1.83496031680667e-09,5.43148253774774e-07,"FDR<0.1",9421.67700326541,-6.99118603754605,1.69540606356857,-4.12360565871203,3.72987245211951e-05,0.0020576463027526,"FDR<0.1"
"2","g1406",1474.76171597908,13.1540812233187,1.94492429296937,6.76328701886698,1.34895621689042e-11,4.44346177843704e-09,"FDR<0.1",953.536746294008,13.7601718357381,2.27187029655425,6.05675942707121,1.38891065158809e-09,5.43148253774774e-07,"FDR<0.1",537.108920848706,12.9451967031424,2.302719755345,5.62169872086883,1.89088821094349e-08,6.25883997822294e-06,"FDR<0.1"
"3","g1435",3671.1942945087,-6.6009294973745,1.18145970929792,-5.5870965767399,2.30897332690747e-08,2.71634219244043e-06,"FDR<0.1",5063.70379823667,-6.8882332869598,1.56112963027563,-4.41233908662898,1.02259791480088e-05,0.000712209371249553,"FDR<0.1",5009.49094065526,-7.69739676985242,1.58438357435225,-4.85829119567803,1.18403185896787e-06,0.000174184242363718,"FDR<0.1"
"4","g1633",452.336831821474,6.64513209506572,1.62256616743292,4.09544598454129,4.21356462988978e-05,0.00110154618181404,"FDR<0.1",152.051088878927,5.89649304881494,2.08283807863094,2.83098965268137,0.00464042222300162,0.0523262848765136,"FDR<0.1",241.781015829513,6.59799064432071,2.06074877574689,3.20174429895239,0.00136598192388351,0.0269934338391309,"FDR<0.1"
"5","g1655",21358.2161537683,-8.67374544651628,2.08643167249447,-4.15721519226471,3.22150512661962e-05,0.000884303157257085,"FDR<0.1",29174.0577690412,-11.8534252366101,2.4345189380403,-4.86889834841524,1.12222113270972e-06,9.49078443663081e-05,"FDR<0.1",28891.4933602052,-9.80522492807762,2.42645594484884,-4.04096556910224,5.32315742251942e-05,0.00271071554900604,"FDR<0.1"
"6","g1665",1253.95208294019,-4.13114356773796,1.19683674262668,-3.45171853487001,0.00055702846843258,0.00890704745153844,"FDR<0.1",1659.44783856497,-4.64187901610499,1.56403212810264,-2.96789236787364,0.00299849308073036,0.0394468423064972,"FDR<0.1",1646.35097331149,-4.55359677453164,1.58133317709074,-2.87959352304815,0.00398188178967822,0.0546573814497403,"FDR<0.1"
"7","g1671",93.4924122612893,9.17361016355333,2.19817108566434,4.17329216246189,3.00229540475346e-05,0.000846828060593336,"FDR<0.1",59.6453131465252,9.76137226974478,2.51713956520655,3.87796227299927,0.000105335046833537,0.00377929380154267,"FDR<0.1",34.8339595781708,8.99854855034956,2.72611666814976,3.30086700084518,0.000963865616584187,0.0212693012726244,"FDR<0.1"
"8","g1765",4197.01400992973,-5.04250957516962,1.18380684092997,-4.25957124154507,2.04819411358713e-05,0.000624699204644073,"FDR<0.1",5668.65207998054,-4.5626458559013,1.55808049574727,-2.92837620928757,0.00340737485174266,0.0428408199920788,"FDR<0.1",5564.57588257687,-5.41296276362792,1.57648386575356,-3.43356686434626,0.000595695259337635,0.015291100752097,"FDR<0.1"
"9","g1801",650.468945946079,7.52659852136233,1.54210891774745,4.88071784991452,1.05700378254394e-06,5.27540978742384e-05,"FDR<0.1",636.305584188587,9.47377292230378,1.92545875288763,4.9202679143845,8.64258273076089e-07,8.22255683923794e-05,"FDR<0.1",145.937656045258,7.35274735829274,2.04516550143005,3.59518452328257,0.000324161734110483,0.0102188127610067,"FDR<0.1"
"10","g1937",891.50681126044,-4.84976902463371,1.23307134017209,-3.93308064718855,8.38640849812653e-05,0.00179382010343044,"FDR<0.1",1198.92534862352,-5.93449309637572,1.59937933998011,-3.71049753365548,0.000206852312006999,0.00544251416480637,"FDR<0.1",1201.62069876508,-4.69239858319083,1.60675942566122,-2.92041142454154,0.00349569552522442,0.0503076182108384,"FDR<0.1"
"11","g1963",1044.17538320464,-7.84406682509088,1.25858760154403,-6.2324361176511,4.59236836273306e-10,8.40403410380149e-08,"FDR<0.1",1446.45390902003,-8.42437225573531,1.65270582834394,-5.09732107871657,3.44493754987449e-07,4.07880605905139e-05,"FDR<0.1",1435.24308931708,-7.64111227391194,1.63570008762852,-4.67146289940611,2.99062121651482e-06,0.000371673355905004,"FDR<0.1"
"12","g1978",116.180991552539,9.45446273445719,2.14792729180361,4.40166795707423,1.07421864900146e-05,0.000368591273938625,"FDR<0.1",78.3008956725308,10.1539930903632,2.45677514932608,4.13305755439141,3.5796904019044e-05,0.00192652428902491,"FDR<0.1",40.4688648040513,9.21486801849393,2.66720653727558,3.45487606216894,0.000550545836632978,0.0151858893271263,"FDR<0.1"
"13","g1979",214.208703351182,10.5255936779276,2.04957529578385,5.13549987628149,2.81395065167314e-07,1.85383068932226e-05,"FDR<0.1",130.851832365505,10.8948264936429,2.37751959328162,4.58243394688707,4.59594905720246e-06,0.000340100230232982,"FDR<0.1",74.7905602707784,10.1009153024522,2.49273445531095,4.05214253003622,5.0750730499414e-05,0.00268775868724897,"FDR<0.1"
